nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i1_dep_2_p,i1_dep_2_e,i1_dep_2_place,i1_rcf_2_p,i1_rcf_2_e,i1_rcf_2_place,i1_dep_3_p,i1_dep_3_e,i1_dep_3_place,i1_rcf_3_p,i1_rcf_3_e,i1_rcf_3_place,i1_dlv_p,i1_dlv_e,i1_hops,i2_legid,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i2_rcf_1_p,i2_rcf_1_e,i2_rcf_1_place,i2_dep_2_p,i2_dep_2_e,i2_dep_2_place,i2_rcf_2_p,i2_rcf_2_e,i2_rcf_2_place,i2_dep_3_p,i2_dep_3_e,i2_dep_3_place,i2_rcf_3_p,i2_rcf_3_e,i2_rcf_3_place,i2_dlv_p,i2_dlv_e,i2_hops,i3_legid,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_1_e,i3_dep_1_place,i3_rcf_1_p,i3_rcf_1_e,i3_rcf_1_place,i3_dep_2_p,i3_dep_2_e,i3_dep_2_place,i3_rcf_2_p,i3_rcf_2_e,i3_rcf_2_place,i3_dep_3_p,i3_dep_3_e,i3_dep_3_place,i3_rcf_3_p,i3_rcf_3_e,i3_rcf_3_place,i3_dlv_p,i3_dlv_e,i3_hops,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dep_2_p,o_dep_2_e,o_dep_2_place,o_rcf_2_p,o_rcf_2_e,o_rcf_2_place,o_dep_3_p,o_dep_3_e,o_dep_3_place,o_rcf_3_p,o_rcf_3_e,o_rcf_3_place,o_dlv_p,o_dlv_e,o_hops,legs
2073,5525,936,1133,300,56,576,825,680,144,?,?,?,?,?,?,?,?,?,?,?,?,4080,292,1,11714,725,96,300,880,815,815,667,144,?,?,?,?,?,?,?,?,?,?,?,?,4080,2978,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2764,4536,4338,300,459,144,3520,137,502,?,?,?,?,?,?,?,?,?,?,?,?,1440,1846,1,2
2074,10989,490,502,300,254,371,840,782,431,434,494,431,2191,505,256,?,?,?,?,?,?,2625,3159,2,13675,1615,1389,300,503,555,775,612,256,?,?,?,?,?,?,?,?,?,?,?,?,4020,253,1,7442,3129,2871,300,514,431,2071,527,256,?,?,?,?,?,?,?,?,?,?,?,?,2625,1639,1,3322,31578,30588,90,1020,256,1240,1021,700,595,816,700,924,615,538,?,?,?,?,?,?,3780,17,2,3
2075,6384,1172,446,90,760,700,605,268,698,?,?,?,?,?,?,?,?,?,?,?,?,3780,27569,1,10666,3071,2031,90,1325,128,1635,1379,700,380,409,700,605,196,698,?,?,?,?,?,?,3780,4378,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8300,4852,4337,90,540,698,600,442,700,1575,1832,700,1840,1322,308,?,?,?,?,?,?,3780,1556,2,2
2076,11251,4791,3371,420,1802,341,1015,981,349,?,?,?,?,?,?,?,?,?,?,?,?,460,1331,1,6746,7864,1056,180,6931,484,695,1450,149,1355,610,149,585,521,349,?,?,?,?,?,?,6960,1426,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9498,1735,1375,150,476,349,1024,847,407,?,?,?,?,?,?,?,?,?,?,?,?,2766,10191,1,2
2077,8740,117,2,240,325,128,930,734,671,?,?,?,?,?,?,?,?,?,?,?,?,3960,111,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13180,2046,1811,90,261,671,820,448,700,130,505,700,625,205,174,?,?,?,?,?,?,3780,3876,2,1
2078,11430,2727,2707,150,114,366,120,104,128,1245,1294,128,645,317,411,?,?,?,?,?,?,4230,6149,2,6717,1273,296,240,1194,128,915,284,411,?,?,?,?,?,?,?,?,?,?,?,?,3960,1607,1,7864,881,146,150,835,391,370,137,128,1345,1583,128,650,417,411,?,?,?,?,?,?,4230,1770,2,3879,9013,5543,180,3600,411,875,1113,317,?,?,?,?,?,?,?,?,?,?,?,?,660,518,1,3
2079,3054,2267,2168,90,140,671,815,1148,700,1105,890,700,1850,1313,308,?,?,?,?,?,?,3780,1011,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8171,150,114,300,309,308,880,665,341,?,?,?,?,?,?,?,?,?,?,?,?,1620,240,1,1
2080,6337,546,232,90,339,700,1285,969,256,?,?,?,?,?,?,?,?,?,?,?,?,3780,2222,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11713,11354,10202,240,1355,256,760,382,178,?,?,?,?,?,?,?,?,?,?,?,?,3840,50,1,1
2081,6501,2372,1776,90,629,700,535,160,468,?,?,?,?,?,?,?,?,?,?,?,?,3780,219,1,2392,386,149,90,377,431,1780,1357,700,130,442,700,535,259,468,?,?,?,?,?,?,3780,56,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10193,448,526,150,24,468,965,1066,349,?,?,?,?,?,?,?,?,?,?,?,?,385,1005,1,2
2082,12758,198,213,150,80,166,140,146,128,900,910,128,650,348,411,?,?,?,?,?,?,4230,6250,2,7381,1137,1084,150,161,366,130,1110,128,1230,279,128,650,338,411,?,?,?,?,?,?,4230,6205,2,935,2500,2675,660,57,556,1920,1216,128,1965,3105,128,915,288,411,?,?,?,?,?,?,3960,1556,2,6677,1968,1728,260,474,411,2210,2241,256,3280,3217,256,1460,2773,640,?,?,?,?,?,?,4200,6333,2,3
2083,6759,1174,976,90,229,485,1240,919,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,35,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2375,1314,675,90,671,700,535,147,468,?,?,?,?,?,?,?,?,?,?,?,?,3780,1380,1,1
2084,10195,921,285,240,825,140,510,244,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,307,1,9816,888,35,300,1162,628,920,706,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,1280,1,10204,2557,1582,90,1009,187,1190,977,128,?,?,?,?,?,?,?,?,?,?,?,?,3780,825,1,7004,84,72,240,209,128,960,700,597,?,?,?,?,?,?,?,?,?,?,?,?,3960,124,1,3
2085,3285,160,117,150,124,398,120,182,134,?,?,?,?,?,?,?,?,?,?,?,?,2850,251,1,9747,200,102,180,213,485,210,211,134,?,?,?,?,?,?,?,?,?,?,?,?,3275,120,1,10292,324,259,180,183,485,205,194,134,?,?,?,?,?,?,?,?,?,?,?,?,2850,935,1,948,614,203,240,658,134,490,345,128,1295,1397,128,780,601,579,?,?,?,?,?,?,3960,8029,2,3
2086,11367,2174,1451,240,923,398,400,206,233,?,?,?,?,?,?,?,?,?,?,?,?,9700,183,1,4781,141,65,240,279,815,190,154,233,?,?,?,?,?,?,?,?,?,?,?,?,5220,6315,1,8,3743,2772,300,1231,789,1050,1080,128,350,224,128,510,315,233,?,?,?,?,?,?,3960,244,2,11832,3144,345,240,1321,233,1590,223,128,3595,8090,128,960,599,667,?,?,?,?,?,?,3960,2873,2,3
2087,4160,253,57,240,386,815,215,142,128,?,?,?,?,?,?,?,?,?,?,?,?,4890,864,1,12612,189,169,150,116,166,170,126,128,?,?,?,?,?,?,?,?,?,?,?,?,4200,845,1,5683,2510,1637,300,1137,413,970,857,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,877,1,12738,1350,546,90,850,128,1230,946,700,605,889,700,890,636,108,?,?,?,?,?,?,3840,2754,2,3
2088,9707,25575,24840,90,941,527,1385,1056,700,600,749,700,800,358,671,?,?,?,?,?,?,3780,1451,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3096,3174,3048,90,170,671,820,569,700,730,1013,700,805,514,206,?,?,?,?,?,?,3780,46620,2,1
2089,6021,1459,597,300,1126,413,970,834,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,1087,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8898,341,206,240,328,128,1045,811,700,?,?,?,?,?,?,?,?,?,?,?,?,3960,637,1,1
2090,12802,37506,37007,90,800,128,1430,1340,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,2,1,1166,1806,1585,90,245,456,880,536,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,45,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13154,4324,3675,90,678,700,1240,849,281,?,?,?,?,?,?,?,?,?,?,?,?,3840,3315,1,2
2091,10591,395,130,360,567,700,1125,1088,481,425,458,481,120,166,349,?,?,?,?,?,?,550,4486,2,9468,75,137,300,183,468,965,981,349,?,?,?,?,?,?,?,?,?,?,?,?,550,165,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1052,2112,1297,90,838,349,1215,887,700,1110,1448,700,1070,653,262,?,?,?,?,?,?,3780,17,2,2
2092,9389,6908,6077,90,977,456,880,528,700,110,365,700,2315,1464,411,?,?,?,?,?,?,3420,4533,2,10092,11703,7191,240,4894,256,1335,941,411,?,?,?,?,?,?,?,?,?,?,?,?,780,3233,1,8453,842,186,150,759,101,130,654,128,1535,1042,128,645,361,411,?,?,?,?,?,?,4230,7269,2,1459,1387,1309,240,297,411,855,893,128,340,220,128,2820,2406,727,?,?,?,?,?,?,3960,4592,2,3
2093,10245,1539,1149,240,570,798,800,706,815,1290,1385,815,385,104,770,?,?,?,?,?,?,5400,261,2,5369,877,22,150,955,128,110,108,770,?,?,?,?,?,?,?,?,?,?,?,?,4230,448,1,288,3780,3046,240,924,456,1030,772,128,815,1085,128,2655,2684,770,?,?,?,?,?,?,1680,252,2,5167,158,148,180,127,770,265,185,815,1350,1444,815,830,799,174,?,?,?,?,?,?,5400,1383,2,3
2094,3669,1984,1681,90,337,413,885,653,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,759,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2454,2593,1796,90,827,700,705,317,403,?,?,?,?,?,?,?,?,?,?,?,?,3780,2504,1,1
2095,3074,1579,1477,90,131,671,820,542,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,210,1,11726,23210,22209,90,1031,815,1210,1031,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,66,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7583,655,406,300,504,700,1070,917,128,1040,1128,128,390,270,678,?,?,?,?,?,?,3960,220,2,2
2096,11416,812,19,240,991,128,810,654,609,?,?,?,?,?,?,?,?,?,?,?,?,3960,240,1,9769,319,364,240,135,366,660,380,281,345,627,281,710,556,609,?,?,?,?,?,?,4080,2772,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3870,7992,4220,90,3876,609,1610,1301,206,?,?,?,?,?,?,?,?,?,?,?,?,3780,18840,1,2
2097,11281,389,49,240,537,128,895,615,144,?,?,?,?,?,?,?,?,?,?,?,?,3960,34516,1,12297,5752,5410,240,538,128,865,648,144,?,?,?,?,?,?,?,?,?,?,?,?,3960,11,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3274,10186,3336,300,1555,144,705,596,327,?,?,?,?,?,?,?,?,?,?,?,?,4080,5684,1,2
2098,13749,230,157,300,351,308,805,623,256,?,?,?,?,?,?,?,?,?,?,?,?,2940,1450,1,8689,3119,1937,300,1441,431,811,522,256,?,?,?,?,?,?,?,?,?,?,?,?,3885,402,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11294,7248,5746,240,1672,256,1275,975,680,?,?,?,?,?,?,?,?,?,?,?,?,3780,970,1,2
2099,7743,1506,201,300,1596,144,805,593,371,?,?,?,?,?,?,?,?,?,?,?,?,8355,1350,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,14127,3255,3220,300,299,371,835,669,431,720,862,431,990,995,265,?,?,?,?,?,?,4080,355,2,1
2100,2283,231,103,360,428,441,695,750,349,?,?,?,?,?,?,?,?,?,?,?,?,550,1908,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12307,2519,652,420,2261,349,626,626,464,?,?,?,?,?,?,?,?,?,?,?,?,939,10687,1,1
2101,12147,2818,1489,240,1517,809,785,885,128,?,?,?,?,?,?,?,?,?,?,?,?,3900,1055,1,2126,16117,14515,90,1643,476,1120,829,128,?,?,?,?,?,?,?,?,?,?,?,?,3780,832,1,14281,1931,1297,90,672,700,1310,987,128,?,?,?,?,?,?,?,?,?,?,?,?,3780,428,1,608,397,44,165,468,128,1275,1023,413,?,?,?,?,?,?,?,?,?,?,?,?,3960,809,1,3
2102,12185,2655,1568,180,1207,196,1495,1236,149,1175,1447,149,730,567,326,?,?,?,?,?,?,2580,3100,2,7500,2835,1591,300,1505,609,3245,446,326,?,?,?,?,?,?,?,?,?,?,?,?,1440,4543,1,450,2367,1514,240,1040,789,1040,935,128,1250,1336,128,2660,2369,326,?,?,?,?,?,?,3960,399,2,13859,4366,4368,180,141,326,155,182,349,1235,1215,349,2174,811,778,?,?,?,?,?,?,896,475,2,3
2103,7956,120,92,150,119,281,125,180,571,?,?,?,?,?,?,?,?,?,?,?,?,2880,743,1,3005,1819,1613,180,326,671,885,777,571,?,?,?,?,?,?,?,?,?,?,?,?,360,2856,1,6625,3967,3298,180,784,628,810,704,571,?,?,?,?,?,?,?,?,?,?,?,?,835,1084,1,11111,3597,1602,180,2122,571,820,703,149,?,?,?,?,?,?,?,?,?,?,?,?,6680,14380,1,3
2104,1158,353,151,90,222,456,880,546,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,206,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9186,772,522,90,303,700,1865,1586,431,?,?,?,?,?,?,?,?,?,?,?,?,3780,1404,1,1
2105,1553,1209,79,90,1160,815,1210,1021,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,76,1,6278,4671,1478,90,3331,485,1240,1147,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,10,1,8491,1127,261,90,915,413,855,509,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,327,1,3569,1750,1452,90,366,700,850,426,628,?,?,?,?,?,?,?,?,?,?,?,?,3780,748,1,3
2106,3592,772,546,90,282,700,800,351,671,?,?,?,?,?,?,?,?,?,?,?,?,3780,1450,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12440,1258,522,180,895,671,900,895,349,?,?,?,?,?,?,?,?,?,?,?,?,550,1566,1,1
2107,8031,2826,2777,240,287,411,855,938,128,340,328,128,2820,2155,727,?,?,?,?,?,?,3960,4851,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9170,812,63,150,852,727,125,163,128,745,721,128,770,824,700,?,?,?,?,?,?,4230,280,2,1
2108,3040,819,179,270,866,349,870,770,520,?,?,?,?,?,?,?,?,?,?,?,?,525,3533,1,11191,1373,193,420,1563,349,840,727,520,?,?,?,?,?,?,?,?,?,?,?,?,350,3059,1,14233,1466,1487,120,34,118,2550,3273,349,1655,954,349,1310,1504,520,?,?,?,?,?,?,1175,1033,2,7198,954,752,120,359,520,1025,772,349,1135,1285,349,1892,2638,524,?,?,?,?,?,?,593,284,2,3
2109,6086,1358,1070,150,405,413,760,677,128,?,?,?,?,?,?,?,?,?,?,?,?,4200,80,1,7121,156,13,240,328,783,255,121,815,460,586,815,215,141,128,?,?,?,?,?,?,4890,403,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8821,137,16,150,220,128,765,606,610,?,?,?,?,?,?,?,?,?,?,?,?,3600,597,1,2
2110,9499,1868,1878,420,342,349,1255,1236,413,?,?,?,?,?,?,?,?,?,?,?,?,420,278,1,8980,127,81,180,166,149,750,1916,413,?,?,?,?,?,?,?,?,?,?,?,?,1140,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8223,341,270,90,142,413,860,447,700,35,411,700,790,540,635,?,?,?,?,?,?,3780,902,2,2
2111,5308,873,319,180,682,610,245,175,128,1415,1532,128,1245,1094,441,?,?,?,?,?,?,3670,231,2,5064,1097,177,180,1040,597,1050,957,815,1555,1645,815,810,689,441,?,?,?,?,?,?,5040,279,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,14639,4927,4121,1260,2006,441,400,399,579,?,?,?,?,?,?,?,?,?,?,?,?,425,4261,1,2
2112,1300,945,890,150,162,610,170,202,128,?,?,?,?,?,?,?,?,?,?,?,?,4200,254,1,6547,276,238,300,315,671,1010,896,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,147,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7995,60,12,300,288,128,840,459,485,325,728,485,780,633,800,?,?,?,?,?,?,4080,1101,2,2
2113,3166,410,236,90,239,431,1745,1434,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,31,1,1986,244,62,90,215,113,1130,786,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,179,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2282,1055,249,90,849,700,535,148,468,?,?,?,?,?,?,?,?,?,?,?,?,3780,294,1,2
2114,5654,4289,4205,240,270,411,850,756,128,460,568,128,1050,546,727,?,?,?,?,?,?,3300,795,2,11159,985,117,150,958,101,65,88,727,?,?,?,?,?,?,?,?,?,?,?,?,2880,102,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6106,2785,73,240,4888,727,3375,164,128,505,1809,128,1070,671,356,?,?,?,?,?,?,3960,2605,2,2
2115,6496,631,56,240,782,128,770,514,216,?,?,?,?,?,?,?,?,?,?,?,?,3960,1039,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,46,1490,974,270,728,216,735,889,815,1050,903,815,760,460,579,?,?,?,?,?,?,5160,36141,2,1
2116,9549,6622,6533,240,232,413,730,779,349,?,?,?,?,?,?,?,?,?,?,?,?,550,1244,1,13650,2547,2658,420,269,407,735,745,349,?,?,?,?,?,?,?,?,?,?,?,?,610,2653,1,9964,460,374,150,176,579,475,702,349,?,?,?,?,?,?,?,?,?,?,?,?,475,109,1,5660,1704,920,420,1164,349,1159,955,468,?,?,?,?,?,?,?,?,?,?,?,?,341,128,1,3
2117,7839,851,336,150,609,366,130,190,128,1600,1545,128,595,510,216,?,?,?,?,?,?,4140,1741,2,5486,549,40,240,707,128,775,795,216,?,?,?,?,?,?,?,?,?,?,?,?,3960,4411,1,10356,670,550,360,475,485,700,451,216,?,?,?,?,?,?,?,?,?,?,?,?,1140,4225,1,8722,130,143,300,77,216,690,797,798,390,468,798,720,575,349,?,?,?,?,?,?,3960,2159,2,3
2118,8871,1194,346,180,988,149,625,612,256,?,?,?,?,?,?,?,?,?,?,?,?,6960,1289,1,6607,612,423,260,403,609,1525,802,256,?,?,?,?,?,?,?,?,?,?,?,?,720,1045,1,820,3305,2957,300,608,431,1965,489,256,?,?,?,?,?,?,?,?,?,?,?,?,2760,1413,1,13021,1115,926,180,336,256,875,699,149,?,?,?,?,?,?,?,?,?,?,?,?,6680,9424,1,3
2119,1163,1890,1668,90,246,456,880,536,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,194,1,1581,4049,3142,90,937,815,1210,1021,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,635,1,3295,37410,36746,90,694,256,1240,987,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,63,1,10748,998,457,90,578,700,955,608,742,?,?,?,?,?,?,?,?,?,?,?,?,3780,1344,1,3
2120,4294,134,59,135,168,815,380,855,770,?,?,?,?,?,?,?,?,?,?,?,?,9250,242,1,11692,132,3,240,332,809,725,621,128,1550,1583,128,1620,1030,770,?,?,?,?,?,?,3960,407,2,14122,454,114,240,524,456,1405,1197,349,850,992,349,653,559,770,?,?,?,?,?,?,1092,1291,2,5175,106,87,180,134,770,265,148,815,425,550,815,280,237,153,?,?,?,?,?,?,5160,81,2,3
2121,6721,1054,211,90,864,485,1250,966,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,2,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2155,2532,2400,90,167,700,705,357,403,?,?,?,?,?,?,?,?,?,?,?,?,3780,1043,1,1
2122,4075,1032,98,240,1117,815,1020,914,671,?,?,?,?,?,?,?,?,?,?,?,?,4680,350,1,3941,1189,478,240,913,815,1020,889,671,?,?,?,?,?,?,?,?,?,?,?,?,4680,14589,1,646,418,301,180,117,372,1200,906,349,1085,1521,349,1240,1084,671,?,?,?,?,?,?,335,10,2,804,2515,2355,90,196,671,795,673,700,860,980,700,585,141,257,?,?,?,?,?,?,3780,7203,2,3
2123,8218,5058,3453,420,1974,349,1240,1138,671,?,?,?,?,?,?,?,?,?,?,?,?,335,4,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,872,904,657,90,266,671,790,524,700,1495,1786,700,1060,656,262,?,?,?,?,?,?,3780,39,2,1
2124,12727,10431,9471,90,1034,128,1590,1244,700,425,725,700,800,371,671,?,?,?,?,?,?,3840,1011,2,4573,1015,88,240,1110,815,1020,897,671,?,?,?,?,?,?,?,?,?,?,?,?,4680,178,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12931,3959,3170,90,885,671,815,956,700,1330,1123,700,605,209,698,?,?,?,?,?,?,3780,3764,2,2
2125,2602,666,153,240,701,815,255,252,349,?,?,?,?,?,?,?,?,?,?,?,?,5250,903,1,5952,646,228,360,718,700,1000,1061,349,?,?,?,?,?,?,?,?,?,?,?,?,550,682,1,14457,208,150,240,238,144,610,600,349,?,?,?,?,?,?,?,?,?,?,?,?,385,126,1,11444,458,175,270,512,349,2049,788,778,?,?,?,?,?,?,?,?,?,?,?,?,846,1274,1,3
2126,9632,4982,5282,780,449,349,1259,1116,341,?,?,?,?,?,?,?,?,?,?,?,?,351,733,1,13766,900,321,180,716,695,580,595,431,1550,1560,431,865,690,341,?,?,?,?,?,?,1620,228,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,317,858,317,420,907,341,975,981,349,?,?,?,?,?,?,?,?,?,?,?,?,550,2043,1,2
2127,6571,973,695,90,308,700,2315,1450,411,?,?,?,?,?,?,?,?,?,?,?,?,3420,7511,1,9352,1182,341,90,866,456,880,542,700,110,472,700,2315,1415,411,?,?,?,?,?,?,3420,4603,2,12761,204,218,150,81,166,140,146,128,900,910,128,650,347,411,?,?,?,?,?,?,4230,4840,2,3169,343,155,90,256,411,1875,1593,700,195,452,700,535,115,468,?,?,?,?,?,?,3780,918,2,3
2128,3210,11694,11528,90,180,476,1345,3697,128,3935,1749,128,1130,711,441,?,?,?,?,?,?,3780,12819,2,8375,8816,8597,120,214,236,390,192,815,1225,1491,815,810,700,441,?,?,?,?,?,?,5040,363,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3271,251,241,195,145,441,695,699,349,?,?,?,?,?,?,?,?,?,?,?,?,385,3753,1,2
2129,4169,2119,1823,300,668,548,860,878,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,685,1,7595,503,423,300,335,700,1080,863,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,698,1,2692,912,215,240,891,456,1030,776,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,1642,1,6559,293,31,240,462,128,965,727,597,?,?,?,?,?,?,?,?,?,?,?,?,3960,211,1,3
2130,1288,187,174,150,122,610,165,106,128,?,?,?,?,?,?,?,?,?,?,?,?,4200,1796,1,1065,3307,3286,240,224,371,1055,827,128,?,?,?,?,?,?,?,?,?,?,?,?,3900,364,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3727,193,94,180,229,128,260,123,815,895,1025,815,225,187,649,?,?,?,?,?,?,4740,1583,2,2
2131,5316,20,90,240,117,128,765,662,610,?,?,?,?,?,?,?,?,?,?,?,?,3600,135,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5289,546,458,150,176,610,145,122,128,750,798,128,665,722,694,?,?,?,?,?,?,4230,6151,2,1
2132,3639,221,23,135,286,815,215,172,128,?,?,?,?,?,?,?,?,?,?,?,?,4890,130,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6920,860,106,240,957,128,880,709,800,?,?,?,?,?,?,?,?,?,?,?,?,3960,70,1,1
2133,8298,1326,151,420,1548,349,1240,993,671,?,?,?,?,?,?,?,?,?,?,?,?,335,362,1,9374,401,623,780,520,349,1777,959,671,?,?,?,?,?,?,?,?,?,?,?,?,338,14718,1,515,859,150,150,799,391,100,153,128,570,547,128,660,716,671,?,?,?,?,?,?,4230,1114,2,9617,2370,1970,180,665,671,665,113,206,?,?,?,?,?,?,?,?,?,?,?,?,6900,54054,1,3
